,Country,Tasa de suicidios (/100.000hab)
140,Republic of Moldova,20.0839
141,Romania,13.058933333333334
142,Russian Federation,46.29583333333333
143,Rwanda,8.4567
144,Saint Lucia,7.6337
145,Saint Vincent and the Grenadines,6.128733333333334
146,Samoa,12.867666666666667
147,Sao Tome and Principe,1.4863333333333333
148,Saudi Arabia,3.7600000000000002
149,Senegal,7.093766666666667
150,Serbia,19.571033333333332
151,Seychelles,8.107466666666667
152,Sierra Leone,6.466666666666666
153,Singapore,11.709966666666666
154,Slovakia,14.727133333333333
155,Slovenia,28.1514
156,Solomon Islands,13.9172
157,Somalia,8.669766666666666
158,South Africa,23.712533333333337
159,South Sudan,3.8800000000000003
160,South-East Asia,12.2305
161,Spain,7.536466666666667
162,Sri Lanka,18.3899
163,Sudan,4.14
164,Suriname,24.56866666666667
165,Sweden,15.012533333333332
166,Switzerland,18.9183
167,Syrian Arab Republic,1.3486666666666667
168,Tajikistan,3.6366666666666667
169,Thailand,8.929766666666666
170,Timor-Leste,2.7266666666666666
171,Togo,11.069
172,Tonga,3.956666666666667
173,Trinidad and Tobago,11.365433333333334
174,Tunisia,3.67
175,Turkmenistan,15.157366666666666
176,Türkiye,2.6933333333333334
177,Uganda,9.4138
178,Ukraine,31.930233333333334
179,United Arab Emirates,7.349733333333333
180,United Kingdom of Great Britain and Northern Ireland,7.8447
181,United Republic of Tanzania,5.34
182,United States of America,12.186866666666667
183,Upper-middle-income economies,11.528466666666667
184,Uruguay,15.668766666666665
185,Uzbekistan,8.796866666666666
186,Vanuatu,19.023300000000003
187,Venezuela (Bolivarian Republic of),3.94
188,Viet Nam,6.43
189,Western Pacific,12.270833333333334
190,World,11.556266666666668
191,Yemen,5.830000000000001
192,Zambia,11.695066666666667
193,Zimbabwe,14.385866666666667
